Date,CTAS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,46.60
2004-02-13,0,43.80
2004-02-20,0,42.78
2004-02-27,0,42.71
2004-03-05,0,42.92
2004-03-12,0,41.55
2004-03-19,0,41.48
2004-03-26,0,42.69
2004-04-02,0,46.23
2004-04-09,0,
2004-04-16,0,46.14
2004-04-23,0,47.74
2004-04-30,100,45.11
2004-05-07,0,44.08
2004-05-14,0,43.27
2004-05-21,0,43.99
2004-05-28,0,45.33
2004-06-04,0,44.77
2004-06-11,0,
2004-06-18,0,45.32
2004-06-25,0,47.86
2004-07-02,0,46.85
2004-07-09,0,45.40
2004-07-16,0,43.97
2004-07-23,0,42.26
2004-07-30,0,41.96
2004-08-06,0,40.41
2004-08-13,98,39.75
2004-08-20,93,40.77
2004-08-27,93,41.55
2004-09-03,0,42.58
2004-09-10,0,42.61
2004-09-17,0,44.03
2004-09-24,0,42.63
2004-10-01,0,43.90
2004-10-08,0,42.14
2004-10-15,0,41.57
2004-10-22,0,41.80
2004-10-29,0,43.14
2004-11-05,0,44.08
2004-11-12,0,45.34
2004-11-19,100,44.77
2004-11-26,0,44.96
2004-12-03,0,45.87
2004-12-10,0,45.50
2004-12-17,0,44.74
2004-12-24,0,
2004-12-31,0,43.86
2005-01-07,0,43.77
2005-01-14,0,43.33
2005-01-21,0,42.83
2005-01-28,0,43.35
2005-02-04,69,44.81
2005-02-11,100,44.93
2005-02-18,69,43.99
2005-02-25,69,43.83
2005-03-04,69,43.92
2005-03-11,0,42.95
2005-03-18,0,41.55
2005-03-25,0,
2005-04-01,0,41.17
2005-04-08,0,40.87
2005-04-15,65,39.83
2005-04-22,92,38.21
2005-04-29,70,38.59
2005-05-06,100,39.50
2005-05-13,62,39.87
2005-05-20,76,41.07
2005-05-27,91,40.95
2005-06-03,0,40.13
2005-06-10,0,39.73
2005-06-17,0,39.95
2005-06-24,0,37.56
2005-07-01,0,38.54
2005-07-08,0,39.36
2005-07-15,65,44.00
2005-07-22,64,45.32
2005-07-29,71,44.33
2005-08-05,77,43.52
2005-08-12,71,43.11
2005-08-19,71,41.94
2005-08-26,71,41.37
2005-09-02,70,40.25
2005-09-09,70,40.52
2005-09-16,88,39.72
2005-09-23,90,39.11
2005-09-30,59,41.05
2005-10-07,59,39.50
2005-10-14,59,39.22
2005-10-21,68,39.45
2005-10-28,84,40.44
2005-11-04,90,42.40
2005-11-11,96,43.31
2005-11-18,60,44.04
2005-11-25,99,44.60
2005-12-02,68,45.26
2005-12-09,55,42.60
2005-12-16,57,42.69
2005-12-23,60,41.29
2005-12-30,57,41.13
2006-01-06,57,41.30
2006-01-13,80,41.08
2006-01-20,50,40.07
2006-01-27,63,42.73
2006-02-03,81,40.59
2006-02-10,53,40.52
2006-02-17,65,40.63
2006-02-24,44,41.16
2006-03-03,86,41.21
2006-03-10,96,42.17
2006-03-17,67,42.17
2006-03-24,70,42.77
2006-03-31,49,42.62
2006-04-07,79,42.00
2006-04-14,67,
2006-04-21,86,41.85
2006-04-28,66,41.98
2006-05-05,41,42.01
2006-05-12,41,41.53
2006-05-19,52,41.21
2006-05-26,57,41.30
2006-06-02,63,42.17
2006-06-09,74,41.22
2006-06-16,46,40.59
2006-06-23,60,39.71
2006-06-30,74,39.76
2006-07-07,87,38.18
2006-07-14,100,36.68
2006-07-21,76,35.26
2006-07-28,71,35.92
2006-08-04,41,35.30
2006-08-11,51,35.51
2006-08-18,61,36.87
2006-08-25,50,36.14
2006-09-01,41,38.03
2006-09-08,68,37.53
2006-09-15,73,38.20
2006-09-22,64,39.94
2006-09-29,60,40.83
2006-10-06,67,41.44
2006-10-13,63,41.59
2006-10-20,88,41.30
2006-10-27,92,41.15
2006-11-03,44,40.87
2006-11-10,66,42.44
2006-11-17,51,43.47
2006-11-24,46,42.41
2006-12-01,54,42.26
2006-12-08,35,42.66
2006-12-15,48,42.73
2006-12-22,73,39.83
2006-12-29,39,39.71
2007-01-05,39,40.29
2007-01-12,51,40.68
2007-01-19,50,40.80
2007-01-26,47,40.97
2007-02-02,64,41.21
2007-02-09,65,41.74
2007-02-16,43,42.39
2007-02-23,53,42.30
2007-03-02,69,39.35
2007-03-09,61,40.02
2007-03-16,64,39.67
2007-03-23,66,37.32
2007-03-30,88,36.10
2007-04-06,55,
2007-04-13,39,37.10
2007-04-20,59,37.77
2007-04-27,51,37.75
2007-05-04,38,38.12
2007-05-11,60,38.03
2007-05-18,60,37.32
2007-05-25,65,37.16
2007-06-01,73,38.48
2007-06-08,68,38.91
2007-06-15,49,40.36
2007-06-22,93,39.51
2007-06-29,72,39.43
2007-07-06,64,40.25
2007-07-13,43,40.90
2007-07-20,72,38.52
2007-07-27,72,36.90
2007-08-03,38,36.03
2007-08-10,35,37.61
2007-08-17,50,35.37
2007-08-24,38,35.74
2007-08-31,62,36.65
2007-09-07,46,35.65
2007-09-14,45,36.37
2007-09-21,45,37.15
2007-09-28,68,37.10
2007-10-05,44,37.35
2007-10-12,66,37.06
2007-10-19,53,36.18
2007-10-26,45,36.53
2007-11-02,65,35.63
2007-11-09,82,33.51
2007-11-16,65,32.98
2007-11-23,67,32.71
2007-11-30,65,31.99
2007-12-07,51,34.75
2007-12-14,68,33.59
2007-12-21,70,34.47
2007-12-28,39,34.18
2008-01-04,37,31.61
2008-01-11,41,31.50
2008-01-18,50,31.63
2008-01-25,59,30.95
2008-02-01,62,33.35
2008-02-08,56,30.43
2008-02-15,66,29.78
2008-02-22,59,29.80
2008-02-29,73,28.78
2008-03-07,67,28.25
2008-03-14,78,28.10
2008-03-21,72,
2008-03-28,55,27.85
2008-04-04,54,29.98
2008-04-11,72,27.92
2008-04-18,52,29.59
2008-04-25,67,29.65
2008-05-02,54,31.01
2008-05-09,71,29.86
2008-05-16,67,30.29
2008-05-23,70,28.58
2008-05-30,78,29.52
2008-06-06,63,28.12
2008-06-13,43,28.44
2008-06-20,66,26.38
2008-06-27,80,26.12
2008-07-04,62,
2008-07-11,58,25.73
2008-07-18,53,27.85
2008-07-25,81,28.56
2008-08-01,71,28.75
2008-08-08,58,30.57
2008-08-15,39,31.19
2008-08-22,84,31.06
2008-08-29,64,30.80
2008-09-05,58,30.56
2008-09-12,55,32.84
2008-09-19,73,30.09
2008-09-26,73,29.06
2008-10-03,76,27.15
2008-10-10,72,21.73
2008-10-17,65,21.48
2008-10-24,58,20.24
2008-10-31,67,23.70
2008-11-07,60,22.34
2008-11-14,67,21.01
2008-11-21,69,21.21
2008-11-28,68,24.02
2008-12-05,77,24.87
2008-12-12,80,24.88
2008-12-19,50,22.38
2008-12-26,35,21.82
2009-01-02,38,23.87
2009-01-09,45,23.31
2009-01-16,73,24.04
2009-01-23,63,23.13
2009-01-30,60,22.75
2009-02-06,71,23.84
2009-02-13,60,22.93
2009-02-20,61,21.70
2009-02-27,62,20.29
2009-03-06,76,18.46
2009-03-13,68,20.95
2009-03-20,80,22.94
2009-03-27,70,25.07
2009-04-03,73,25.59
2009-04-10,60,
2009-04-17,60,26.52
2009-04-24,70,26.83
2009-05-01,60,25.75
2009-05-08,73,26.03
2009-05-15,57,24.94
2009-05-22,61,24.56
2009-05-29,67,23.29
2009-06-05,60,22.83
2009-06-12,56,22.94
2009-06-19,49,22.43
2009-06-26,47,22.92
2009-07-03,62,
2009-07-10,52,21.61
2009-07-17,59,22.61
2009-07-24,58,24.45
2009-07-31,55,25.18
2009-08-07,53,26.80
2009-08-14,47,26.88
2009-08-21,56,27.70
2009-08-28,63,27.81
2009-09-04,59,27.72
2009-09-11,53,28.38
2009-09-18,64,29.77
2009-09-25,74,30.06
2009-10-02,53,29.05
2009-10-09,53,29.53
2009-10-16,61,29.25
2009-10-23,58,28.11
2009-10-30,38,27.69
2009-11-06,49,28.77
2009-11-13,58,28.82
2009-11-20,63,27.96
2009-11-27,51,28.33
2009-12-04,33,29.41
2009-12-11,46,29.33
2009-12-18,43,29.54
2009-12-25,43,
2010-01-01,29,
2010-01-08,43,26.91
2010-01-15,45,26.24
2010-01-22,61,25.25
2010-01-29,44,25.11
2010-02-05,52,24.83
2010-02-12,62,24.60
2010-02-19,44,24.49
2010-02-26,52,24.79
2010-03-05,42,25.53
2010-03-12,51,26.67
2010-03-19,48,28.13
2010-03-26,55,27.92
2010-04-02,46,
2010-04-09,50,27.74
2010-04-16,48,27.91
2010-04-23,58,28.73
2010-04-30,62,27.26
2010-05-07,51,25.54
2010-05-14,60,26.47
2010-05-21,44,25.93
2010-05-28,38,26.00
2010-06-04,61,25.01
2010-06-11,53,25.30
2010-06-18,41,26.10
2010-06-25,46,24.92
2010-07-02,59,23.66
2010-07-09,40,24.98
2010-07-16,32,25.20
2010-07-23,42,26.01
2010-07-30,46,26.46
2010-08-06,55,26.85
2010-08-13,45,25.84
2010-08-20,47,26.19
2010-08-27,59,25.61
2010-09-03,61,27.16
2010-09-10,59,27.44
2010-09-17,48,27.71
2010-09-24,53,27.72
2010-10-01,49,27.48
2010-10-08,37,27.55
2010-10-15,53,27.36
2010-10-22,47,28.08
2010-10-29,56,27.47
2010-11-05,44,28.20
2010-11-12,58,27.22
2010-11-19,49,27.64
2010-11-26,49,27.19
2010-12-03,51,28.49
2010-12-10,44,28.28
2010-12-17,43,29.19
2010-12-24,44,
2010-12-31,36,27.96
2011-01-07,49,27.92
2011-01-14,44,29.00
2011-01-21,57,28.89
2011-01-28,42,27.90
2011-02-04,42,28.90
2011-02-11,48,29.29
2011-02-18,41,29.19
2011-02-25,56,28.10
2011-03-04,56,28.00
2011-03-11,41,27.91
2011-03-18,50,27.80
2011-03-25,50,29.55
2011-04-01,54,30.47
2011-04-08,50,30.19
2011-04-15,59,30.34
2011-04-22,45,
2011-04-29,46,31.05
2011-05-06,37,30.70
2011-05-13,50,32.11
2011-05-20,45,32.06
2011-05-27,30,32.41
2011-06-03,48,31.58
2011-06-10,31,31.31
2011-06-17,35,32.03
2011-06-24,46,31.75
2011-07-01,44,33.97
2011-07-08,29,33.56
2011-07-15,40,31.06
2011-07-22,49,34.37
2011-07-29,47,32.55
2011-08-05,45,29.58
2011-08-12,44,29.83
2011-08-19,41,28.44
2011-08-26,47,30.58
2011-09-02,44,30.83
2011-09-09,41,30.16
2011-09-16,49,31.49
2011-09-23,44,28.39
2011-09-30,42,28.14
2011-10-07,39,28.20
2011-10-14,53,29.56
2011-10-21,55,29.45
2011-10-28,44,30.33
2011-11-04,49,29.63
2011-11-11,43,29.37
2011-11-18,48,29.69
2011-11-25,43,27.63
2011-12-02,53,30.35
2011-12-09,47,30.43
2011-12-16,37,30.52
2011-12-23,34,34.88
2011-12-30,40,34.81
2012-01-06,41,37.31
2012-01-13,48,37.37
2012-01-20,50,37.93
2012-01-27,50,37.47
2012-02-03,44,37.90
2012-02-10,57,37.68
2012-02-17,49,38.60
2012-02-24,49,38.80
2012-03-02,44,38.31
2012-03-09,57,39.30
2012-03-16,40,40.21
2012-03-23,50,39.38
2012-03-30,56,39.12
2012-04-06,33,
2012-04-13,50,38.48
2012-04-20,43,39.25
2012-04-27,44,39.42
2012-05-04,42,39.19
2012-05-11,54,38.71
2012-05-18,47,36.50
2012-05-25,45,37.31
2012-06-01,39,35.76
2012-06-08,41,36.38
2012-06-15,44,37.23
2012-06-22,35,36.80
2012-06-29,31,38.61
2012-07-06,38,39.06
2012-07-13,43,39.87
2012-07-20,50,37.66
2012-07-27,37,39.29
2012-08-03,41,40.65
2012-08-10,30,40.93
2012-08-17,36,41.41
2012-08-24,35,40.86
2012-08-31,40,40.42
2012-09-07,35,41.41
2012-09-14,40,41.72
2012-09-21,43,40.65
2012-09-28,39,41.43
2012-10-05,39,42.20
2012-10-12,56,41.86
2012-10-19,43,41.88
2012-10-26,47,41.47
2012-11-02,39,41.80
2012-11-09,48,40.65
2012-11-16,38,39.67
2012-11-23,39,40.86
2012-11-30,45,41.44
2012-12-07,43,42.00
2012-12-14,37,41.58
2012-12-21,26,41.64
2012-12-28,38,40.34
2013-01-04,38,42.59
2013-01-11,44,42.58
2013-01-18,38,42.41
2013-01-25,44,42.51
2013-02-01,39,42.45
2013-02-08,45,42.87
2013-02-15,50,44.66
2013-02-22,50,44.23
2013-03-01,41,43.80
2013-03-08,49,44.35
2013-03-15,61,44.72
2013-03-22,49,43.39
2013-03-29,52,
2013-04-05,44,43.86
2013-04-12,42,45.88
2013-04-19,50,44.80
2013-04-26,50,44.64
2013-05-03,42,45.25
2013-05-10,50,45.11
2013-05-17,40,45.89
2013-05-24,50,44.98
2013-05-31,45,45.65
2013-06-07,48,45.80
2013-06-14,48,45.57
2013-06-21,40,45.13
2013-06-28,36,45.54
2013-07-05,49,46.45
2013-07-12,35,48.00
2013-07-19,34,47.57
2013-07-26,40,47.29
2013-08-02,47,48.02
2013-08-09,41,49.08
2013-08-16,32,48.75
2013-08-23,46,48.72
2013-08-30,40,47.76
2013-09-06,35,48.61
2013-09-13,42,49.70
2013-09-20,43,51.26
2013-09-27,39,51.22
2013-10-04,38,50.55
2013-10-11,42,51.75
2013-10-18,47,53.15
2013-10-25,44,53.91
2013-11-01,39,53.99
2013-11-08,44,53.46
2013-11-15,40,54.38
2013-11-22,45,55.21
2013-11-29,49,55.50
2013-12-06,42,54.83
2013-12-13,43,55.41
2013-12-20,47,59.30
2013-12-27,24,59.50
2014-01-03,30,59.35
2014-01-10,45,59.27
2014-01-17,38,59.13
2014-01-24,46,57.16
2014-01-31,38,57.07
2014-02-07,40,58.13
2014-02-14,54,59.18
2014-02-21,36,61.66
2014-02-28,52,60.66
2014-03-07,55,61.37
2014-03-14,52,59.39
2014-03-21,52,59.71
2014-03-28,50,58.99
2014-04-04,46,58.24
2014-04-11,44,56.48
2014-04-18,45,
2014-04-25,45,57.55
2014-05-02,50,
